"module name","license","repository","license URL","parent path"
"asn1@0.2.3","MIT","https://github.com/mcavage/node-asn1","https://github.com/mcavage/node-asn1/raw/master/LICENSE","fsevents:chokidar:nodemon:gulp-nodemon:HelpNow"
"assert-plus@0.2.0","MIT","git+https://github.com/mcavage/node-assert-plus","git+https://github.com/mcavage/node-assert-plus","fsevents:chokidar:nodemon:gulp-nodemon:HelpNow"
"assert-plus@1.0.0","MIT","git+https://github.com/mcavage/node-assert-plus","git+https://github.com/mcavage/node-assert-plus","dashdash:fsevents:chokidar:nodemon:gulp-nodemon:HelpNow"
"async-each@1.0.0","MIT","https://github.com/paulmillr/async-each","https://github.com/paulmillr/async-each","chokidar:nodemon:gulp-nodemon:HelpNow"
"async@0.2.10","MIT","git+https://github.com/caolan/async","https://github.com/caolan/async/raw/master/LICENSE","uglify-js:gulp-uglify:HelpNow"
"async@1.5.2","MIT","git+https://github.com/caolan/async","git+https://github.com/caolan/async","fsevents:chokidar:nodemon:gulp-nodemon:HelpNow"
"atob@1.1.3","(MIT OR Apache-2.0)","https://github.com/coolaj86/node-browser-compat","https://github.com/coolaj86/node-browser-compat/raw/master/LICENSE","source-map-resolve:css:rework:myth:gulp-myth:HelpNow"
"autoprefixer-core@5.2.1","MIT","git+https://github.com/postcss/autoprefixer-core","git+https://github.com/postcss/autoprefixer-core/raw/master/LICENSE","myth:gulp-myth:HelpNow"
"aws-sdk@2.4.0","Apache-2.0","https://github.com/aws/aws-sdk-js","https://github.com/aws/aws-sdk-js/raw/master/LICENSE.txt","nodemailer-ses-transport:HelpNow"
"aws-sign2@0.6.0","Apache-2.0","git+https://github.com/mikeal/aws-sign","git+https://github.com/mikeal/aws-sign/raw/master/LICENSE","fsevents:chokidar:nodemon:gulp-nodemon:HelpNow"
"aws4@1.3.2","MIT","git+https://github.com/mhart/aws4","git+https://github.com/mhart/aws4/raw/master/LICENSE","fsevents:chokidar:nodemon:gulp-nodemon:HelpNow"
"aws4@1.4.1","MIT","git+https://github.com/mhart/aws4","git+https://github.com/mhart/aws4/raw/master/LICENSE","request:request-promise:HelpNow"
"balanced-match@0.0.0","MIT","https://github.com/juliangruber/balanced-match","https://github.com/juliangruber/balanced-match","rework-color-function:myth:gulp-myth:HelpNow"
"balanced-match@0.1.0","MIT","https://github.com/juliangruber/balanced-match","https://github.com/juliangruber/balanced-match","rework-calc:myth:gulp-myth:HelpNow"
"balanced-match@0.3.0","MIT","https://github.com/juliangruber/balanced-match","https://github.com/juliangruber/balanced-match/raw/master/LICENSE.md","brace-expansion:minimatch:glob:rimraf:fsevents:chokidar:nodemon:gulp-nodemon:HelpNow"
"balanced-match@0.4.1","MIT","https://github.com/juliangruber/balanced-match","https://github.com/juliangruber/balanced-match/raw/master/LICENSE.md","brace-expansion:minimatch:glob-stream:vinyl-fs:gulp:HelpNow"
"base64-url@1.2.2","ISC","https://github.com/joaquimserafim/base64-url","https://github.com/joaquimserafim/base64-url/raw/master/LICENSE","ecdsa-sig-formatter:jwa:jws:jsonwebtoken:passport-jwt:HelpNow"
"base64url@1.0.6","MIT","https://github.com/brianloveswords/base64url","https://github.com/brianloveswords/base64url/raw/master/LICENSE","jws:jsonwebtoken:passport-jwt:HelpNow"
"basic-auth@1.0.4","MIT","git+https://github.com/jshttp/basic-auth","git+https://github.com/jshttp/basic-auth/raw/master/LICENSE","morgan:HelpNow"
"bcrypt-nodejs@0.0.3","UNKNOWN","git+https://github.com/shaneGirish/bcryptJS","git+https://github.com/shaneGirish/bcryptJS/raw/master/LICENSE","HelpNow"
"beeper@1.1.0","MIT","git+https://github.com/sindresorhus/beeper","git+https://github.com/sindresorhus/beeper/raw/master/license","gulp-util:gulp:HelpNow"
"bignumber.js@2.3.0","MIT","git+https://github.com/MikeMcl/bignumber.js","git+https://github.com/MikeMcl/bignumber.js/raw/master/LICENCE","mysql:HelpNow"
"binary-extensions@1.4.1","MIT","git+https://github.com/sindresorhus/binary-extensions","git+https://github.com/sindresorhus/binary-extensions/raw/master/license","is-binary-path:chokidar:nodemon:gulp-nodemon:HelpNow"
"bl@1.0.3","MIT","git+https://github.com/rvagg/bl","git+https://github.com/rvagg/bl/raw/master/LICENSE.md","fsevents:chokidar:nodemon:gulp-nodemon:HelpNow"
"bl@1.1.2","MIT","git+https://github.com/rvagg/bl","git+https://github.com/rvagg/bl/raw/master/LICENSE.md","request:request-promise:HelpNow"
"block-stream@0.0.8","ISC","https://github.com/isaacs/block-stream","https://github.com/isaacs/block-stream/raw/master/LICENCE","fsevents:chokidar:nodemon:gulp-nodemon:HelpNow"
"bluebird@2.10.2","MIT","https://github.com/petkaantonov/bluebird","https://github.com/petkaantonov/bluebird/raw/master/LICENSE","request-promise:HelpNow"
"bluebird@3.4.1","MIT","https://github.com/petkaantonov/bluebird","https://github.com/petkaantonov/bluebird/raw/master/LICENSE","HelpNow"
"body-parser@1.13.3","MIT","git+https://github.com/expressjs/body-parser","git+https://github.com/expressjs/body-parser/raw/master/LICENSE","HelpNow"
"boom@2.10.1","BSD-3-Clause","https://github.com/hapijs/boom","https://github.com/hapijs/boom/raw/master/LICENSE","fsevents:chokidar:nodemon:gulp-nodemon:HelpNow"
"brace-expansion@1.1.3","MIT","https://github.com/juliangruber/brace-expansion","https://github.com/juliangruber/brace-expansion","minimatch:glob:rimraf:fsevents:chokidar:nodemon:gulp-nodemon:HelpNow"
"brace-expansion@1.1.5","MIT","https://github.com/juliangruber/brace-expansion","https://github.com/juliangruber/brace-expansion","minimatch:glob-stream:vinyl-fs:gulp:HelpNow"
"braces@1.8.5","MIT","git+https://github.com/jonschlinkert/braces","git+https://github.com/jonschlinkert/braces/raw/master/LICENSE","micromatch:findup-sync:liftoff:gulp:HelpNow"
"browserslist@0.4.0","MIT","git+https://github.com/ai/browserslist","git+https://github.com/ai/browserslist/raw/master/LICENSE","autoprefixer-core:myth:gulp-myth:HelpNow"
"buffer-equal-constant-time@1.0.1","BSD-3-Clause","git+ssh://git@github.com/goinstant/buffer-equal-constant-time","git+ssh://git@github.com/goinstant/buffer-equal-constant-time/raw/master/LICENSE.txt","jwa:jws:jsonwebtoken:passport-jwt:HelpNow"
"buffer-shims@1.0.0","MIT","git+ssh://git@github.com/calvinmetcalf/buffer-shims","git+ssh://git@github.com/calvinmetcalf/buffer-shims/raw/master/license.md","readable-stream:readdirp:chokidar:nodemon:gulp-nodemon:HelpNow"
"buildmail@3.7.0","MIT","https://github.com/andris9/buildmail","https://github.com/andris9/buildmail/raw/master/LICENSE","mailcomposer:nodemailer:HelpNow"
"builtin-modules@1.1.1","MIT","git+https://github.com/sindresorhus/builtin-modules","git+https://github.com/sindresorhus/builtin-modules/raw/master/license","is-builtin-module:normalize-package-data:meow:dateformat:gulp-util:gulp:HelpNow"
"bytes@1.0.0","UNKNOWN","git+https://github.com/visionmedia/bytes.js","git+https://github.com/visionmedia/bytes.js","raw-body:express-http-proxy:HelpNow"
"bytes@2.1.0","MIT","https://github.com/visionmedia/bytes.js","https://github.com/visionmedia/bytes.js","body-parser:HelpNow"
"bytes@2.4.0","MIT","git+https://github.com/visionmedia/bytes.js","git+https://github.com/visionmedia/bytes.js/raw/master/LICENSE","raw-body:body-parser:HelpNow"
"camelcase-keys@1.0.0","MIT","git+https://github.com/sindresorhus/camelcase-keys","git+https://github.com/sindresorhus/camelcase-keys","meow:base64url:jws:jsonwebtoken:passport-jwt:HelpNow"
"camelcase-keys@2.1.0","MIT","git+https://github.com/sindresorhus/camelcase-keys","git+https://github.com/sindresorhus/camelcase-keys/raw/master/license","meow:dateformat:gulp-util:gulp:HelpNow"
"camelcase@1.2.1","MIT","git+https://github.com/sindresorhus/camelcase","git+https://github.com/sindresorhus/camelcase/raw/master/license","yargs:uglify-js:gulp-uglify:HelpNow"
"camelcase@2.1.1","MIT","git+https://github.com/sindresorhus/camelcase","git+https://github.com/sindresorhus/camelcase/raw/master/license","camelcase-keys:meow:dateformat:gulp-util:gulp:HelpNow"
"caniuse-db@1.0.30000485","CC-BY-4.0","git+https://github.com/Fyrd/caniuse","git+https://github.com/Fyrd/caniuse/raw/master/LICENSE","autoprefixer-core:myth:gulp-myth:HelpNow"
"caseless@0.11.0","Apache-2.0","git+https://github.com/mikeal/caseless","git+https://github.com/mikeal/caseless/raw/master/LICENSE","fsevents:chokidar:nodemon:gulp-nodemon:HelpNow"
"center-align@0.1.3","MIT","git+https://github.com/jonschlinkert/center-align","git+https://github.com/jonschlinkert/center-align/raw/master/LICENSE","cliui:yargs:uglify-js:gulp-uglify:HelpNow"
"chalk@1.1.3","MIT","git+https://github.com/chalk/chalk","git+https://github.com/chalk/chalk/raw/master/license","gulp:HelpNow"
"chokidar@1.5.2","MIT","git+https://github.com/paulmillr/chokidar","git+https://github.com/paulmillr/chokidar","nodemon:gulp-nodemon:HelpNow"
"cli@0.6.6","MIT","git+ssh://git@github.com/chriso/cli","git+ssh://git@github.com/chriso/cli","jshint:gulp-jshint:HelpNow"
"cliui@2.1.0","ISC","git+ssh://git@github.com/bcoe/cliui","git+ssh://git@github.com/bcoe/cliui/raw/master/LICENSE.txt","yargs:uglify-js:gulp-uglify:HelpNow"
"clone-component@0.2.2","UNKNOWN","git+https://github.com/component/clone","git+https://github.com/component/clone","myth:gulp-myth:HelpNow"
"clone-stats@0.0.1","MIT","https://github.com/hughsk/clone-stats","https://github.com/hughsk/clone-stats/raw/master/LICENSE.md","vinyl:gulp-util:gulp:HelpNow"
"clone@0.2.0","MIT","https://github.com/pvorb/node-clone","https://github.com/pvorb/node-clone/raw/master/LICENSE","vinyl:vinyl-fs:gulp:HelpNow"
"clone@1.0.2","MIT","https://github.com/pvorb/node-clone","https://github.com/pvorb/node-clone/raw/master/LICENSE","vinyl:gulp-util:gulp:HelpNow"
"color-convert@1.3.1","MIT","git+https://github.com/qix-/color-convert","git+https://github.com/qix-/color-convert/raw/master/LICENSE","color:css-color-function:rework-color-function:myth:gulp-myth:HelpNow"
"color-name@1.1.1","MIT","git+ssh://git@github.com/dfcreative/color-name","git+ssh://git@github.com/dfcreative/color-name/raw/master/LICENSE","color-string:color:css-color-function:rework-color-function:myth:gulp-myth:HelpNow"
"color-string@0.3.0","MIT","git+ssh://git@github.com/harthur/color-string","git+ssh://git@github.com/harthur/color-string/raw/master/LICENSE","color:css-color-function:rework-color-function:myth:gulp-myth:HelpNow"
"color@0.11.2","MIT","git+https://github.com/qix-/color","git+https://github.com/qix-/color/raw/master/LICENSE","css-color-function:rework-color-function:myth:gulp-myth:HelpNow"
"colors@0.6.2","UNKNOWN","git+ssh://git@github.com/Marak/colors.js","git+ssh://git@github.com/Marak/colors.js/raw/master/MIT-LICENSE.txt","myth:gulp-myth:HelpNow"
"colors@1.1.2","MIT","git+ssh://git@github.com/Marak/colors.js","git+ssh://git@github.com/Marak/colors.js/raw/master/LICENSE","gulp-nodemon:HelpNow"
"combined-stream@1.0.5","MIT","https://github.com/felixge/node-combined-stream","https://github.com/felixge/node-combined-stream/raw/master/License","fsevents:chokidar:nodemon:gulp-nodemon:HelpNow"
"commander@2.9.0","MIT","git+https://github.com/tj/commander.js","git+https://github.com/tj/commander.js/raw/master/LICENSE","myth:gulp-myth:HelpNow"
"component-type@1.2.1","MIT","git+https://github.com/component/type","git+https://github.com/component/type","clone-component:myth:gulp-myth:HelpNow"
"concat-map@0.0.1","MIT","https://github.com/substack/node-concat-map","https://github.com/substack/node-concat-map/raw/master/LICENSE","brace-expansion:minimatch:glob-stream:vinyl-fs:gulp:HelpNow"
"concat-stream@1.4.10","MIT","git+ssh://git@github.com/maxogden/concat-stream","git+ssh://git@github.com/maxogden/concat-stream/raw/master/LICENSE","base64url:jws:jsonwebtoken:passport-jwt:HelpNow"
"concat-with-sourcemaps@1.0.4","ISC","https://github.com/floridoo/concat-with-sourcemaps","https://github.com/floridoo/concat-with-sourcemaps/raw/master/LICENSE.md","gulp-concat:HelpNow"
"configstore@1.4.0","BSD-2-Clause","git+https://github.com/yeoman/configstore","git+https://github.com/yeoman/configstore","update-notifier:nodemon:gulp-nodemon:HelpNow"
"console-browserify@1.1.0","MIT","https://github.com/Raynos/console-browserify","http://github.com/Raynos/console-browserify/raw/master/LICENSE","jshint:gulp-jshint:HelpNow"
"content-disposition@0.5.1","MIT","git+https://github.com/jshttp/content-disposition","git+https://github.com/jshttp/content-disposition/raw/master/LICENSE","express:HelpNow"
"content-type@1.0.2","MIT","git+https://github.com/jshttp/content-type","git+https://github.com/jshttp/content-type/raw/master/LICENSE","body-parser:HelpNow"
"convert-source-map@0.3.5","MIT","https://github.com/thlorenz/convert-source-map","https://github.com/thlorenz/convert-source-map/raw/master/LICENSE","rework:myth:gulp-myth:HelpNow"
"cookie-parser@1.3.5","MIT","git+https://github.com/expressjs/cookie-parser","git+https://github.com/expressjs/cookie-parser/raw/master/LICENSE","HelpNow"
"cookie-signature@1.0.6","MIT","git+https://github.com/visionmedia/node-cookie-signature","git+https://github.com/visionmedia/node-cookie-signature","cookie-parser:HelpNow"
"cookie@0.1.3","MIT","git+https://github.com/jshttp/cookie","git+https://github.com/jshttp/cookie/raw/master/LICENSE","cookie-parser:HelpNow"
"cookie@0.1.5","MIT","git+https://github.com/jshttp/cookie","git+https://github.com/jshttp/cookie/raw/master/LICENSE","express:HelpNow"
"core-util-is@1.0.2","MIT","https://github.com/isaacs/core-util-is","https://github.com/isaacs/core-util-is/raw/master/LICENSE","readable-stream:duplexer2:multipipe:gulp-util:gulp:HelpNow"
"cryptiles@2.0.5","BSD-3-Clause","https://github.com/hapijs/cryptiles","https://github.com/hapijs/cryptiles/raw/master/LICENSE","fsevents:chokidar:nodemon:gulp-nodemon:HelpNow"
"css-color-function@1.3.0","MIT","https://github.com/ianstormtaylor/css-color-function","https://github.com/ianstormtaylor/css-color-function","rework-color-function:myth:gulp-myth:HelpNow"
"css@2.2.1","MIT","git+https://github.com/reworkcss/css","git+https://github.com/reworkcss/css/raw/master/LICENSE","rework:myth:gulp-myth:HelpNow"
"currently-unhandled@0.4.1","MIT","git+https://github.com/jamestalmage/currently-unhandled","git+https://github.com/jamestalmage/currently-unhandled/raw/master/license","loud-rejection:meow:dateformat:gulp-util:gulp:HelpNow"
"dashdash@1.13.0","MIT","https://github.com/trentm/node-dashdash","https://github.com/trentm/node-dashdash","fsevents:chokidar:nodemon:gulp-nodemon:HelpNow"
"date-now@0.1.4","MIT","https://github.com/Colingo/date-now","http://github.com/Colingo/date-now/raw/master/LICENSE","console-browserify:jshint:gulp-jshint:HelpNow"
"dateformat@1.0.12","MIT","git+https://github.com/felixge/node-dateformat","git+https://github.com/felixge/node-dateformat/raw/master/LICENSE","gulp-util:gulp:HelpNow"
"deap@1.0.0","MIT","https://github.com/selfcontained/deap","https://github.com/selfcontained/deap/raw/master/LICENSE","gulp-uglify:HelpNow"
"debug@0.7.4","UNKNOWN","https://github.com/visionmedia/debug","https://github.com/visionmedia/debug","css-color-function:rework-color-function:myth:gulp-myth:HelpNow"
"debug@2.2.0","MIT","https://github.com/visionmedia/debug","https://github.com/visionmedia/debug","HelpNow"
"decamelize@1.2.0","MIT","git+https://github.com/sindresorhus/decamelize","git+https://github.com/sindresorhus/decamelize/raw/master/license","meow:dateformat:gulp-util:gulp:HelpNow"
"deep-extend@0.3.3","MIT","https://github.com/unclechu/node-deep-extend","https://github.com/unclechu/node-deep-extend/raw/master/LICENSE","twitter:HelpNow"
"deep-extend@0.4.1","MIT","https://github.com/unclechu/node-deep-extend","https://github.com/unclechu/node-deep-extend","fsevents:chokidar:nodemon:gulp-nodemon:HelpNow"
"defaults@1.0.3","MIT","https://github.com/tmpvar/defaults","https://github.com/tmpvar/defaults/raw/master/LICENSE","vinyl-fs:gulp:HelpNow"
"delayed-stream@1.0.0","MIT","https://github.com/felixge/node-delayed-stream","https://github.com/felixge/node-delayed-stream/raw/master/License","fsevents:chokidar:nodemon:gulp-nodemon:HelpNow"
"delegates@1.0.0","MIT","git+https://github.com/visionmedia/node-delegates","git+https://github.com/visionmedia/node-delegates/raw/master/License","fsevents:chokidar:nodemon:gulp-nodemon:HelpNow"
"depd@1.0.1","MIT","git+https://github.com/dougwilson/nodejs-depd","git+https://github.com/dougwilson/nodejs-depd/raw/master/LICENSE","body-parser:HelpNow"
"depd@1.1.0","MIT","git+https://github.com/dougwilson/nodejs-depd","git+https://github.com/dougwilson/nodejs-depd/raw/master/LICENSE","express:HelpNow"
"deprecated@0.0.1","MIT","https://github.com/wearefractal/deprecated","http://github.com/wearefractal/deprecated/raw/master/LICENSE","gulp:HelpNow"
"destroy@1.0.4","MIT","git+https://github.com/stream-utils/destroy","git+https://github.com/stream-utils/destroy/raw/master/LICENSE","send:express:HelpNow"
"dom-serializer@0.1.0","MIT","https://github.com/cheeriojs/dom-renderer","https://github.com/cheeriojs/dom-renderer/raw/master/LICENSE","domutils:htmlparser2:jshint:gulp-jshint:HelpNow"
"domelementtype@1.1.3","UNKNOWN","https://github.com/FB55/domelementtype","https://github.com/FB55/domelementtype/raw/master/LICENSE","dom-serializer:domutils:htmlparser2:jshint:gulp-jshint:HelpNow"
"domelementtype@1.3.0","UNKNOWN","https://github.com/FB55/domelementtype","https://github.com/FB55/domelementtype/raw/master/LICENSE","htmlparser2:jshint:gulp-jshint:HelpNow"
"domhandler@2.3.0","UNKNOWN","https://github.com/fb55/DomHandler","https://github.com/fb55/DomHandler/raw/master/LICENSE","htmlparser2:jshint:gulp-jshint:HelpNow"
"domutils@1.5.1","UNKNOWN","https://github.com/FB55/domutils","https://github.com/FB55/domutils/raw/master/LICENSE","htmlparser2:jshint:gulp-jshint:HelpNow"
"dottie@1.1.1","UNKNOWN","https://github.com/mickhansen/dottie.js","https://github.com/mickhansen/dottie.js/raw/master/LICENSE","sequelize:HelpNow"
"duplexer2@0.0.2","BSD","https://github.com/deoxxa/duplexer2","https://github.com/deoxxa/duplexer2/raw/master/LICENSE.md","multipipe:gulp-util:gulp:HelpNow"
"duplexer@0.1.1","MIT","https://github.com/Raynos/duplexer","http://github.com/Raynos/duplexer/raw/master/LICENSE","event-stream:gulp-nodemon:HelpNow"
"duplexify@3.4.3","MIT","https://github.com/mafintosh/duplexify","https://github.com/mafintosh/duplexify/raw/master/LICENSE","got:package-json:latest-version:update-notifier:nodemon:gulp-nodemon:HelpNow"
"ecc-jsbn@0.1.1","MIT","git+https://github.com/quartzjer/ecc-jsbn","git+https://github.com/quartzjer/ecc-jsbn/raw/master/LICENSE","fsevents:chokidar:nodemon:gulp-nodemon:HelpNow"
"ecdsa-sig-formatter@1.0.7","Apache-2.0","git+ssh://git@github.com/Brightspace/node-ecdsa-sig-formatter","git+ssh://git@github.com/Brightspace/node-ecdsa-sig-formatter/raw/master/LICENSE","jwa:jws:jsonwebtoken:passport-jwt:HelpNow"
"ee-first@1.1.1","MIT","git+https://github.com/jonathanong/ee-first","git+https://github.com/jonathanong/ee-first/raw/master/LICENSE","on-finished:body-parser:HelpNow"
"end-of-stream@0.1.5","MIT","https://github.com/mafintosh/end-of-stream","https://github.com/mafintosh/end-of-stream","orchestrator:gulp:HelpNow"
"end-of-stream@1.0.0","MIT","https://github.com/mafintosh/end-of-stream","https://github.com/mafintosh/end-of-stream","duplexify:got:package-json:latest-version:update-notifier:nodemon:gulp-nodemon:HelpNow"
"entities@1.0.0","BSD-like","https://github.com/fb55/node-entities","https://github.com/fb55/node-entities/raw/master/LICENSE","htmlparser2:jshint:gulp-jshint:HelpNow"
"entities@1.1.1","BSD-like","https://github.com/fb55/node-entities","https://github.com/fb55/node-entities/raw/master/LICENSE","dom-serializer:domutils:htmlparser2:jshint:gulp-jshint:HelpNow"
"error-ex@1.3.0","MIT","git+https://github.com/qix-/node-error-ex","git+https://github.com/qix-/node-error-ex/raw/master/LICENSE","parse-json:load-json-file:read-pkg:read-pkg-up:meow:dateformat:gulp-util:gulp:HelpNow"
"es6-promise@2.3.0","MIT","https://github.com/jakearchibald/ES6-Promises","https://github.com/jakearchibald/ES6-Promises/raw/master/LICENSE","postcss:myth:gulp-myth:HelpNow"
"es6-promise@3.2.1","MIT","https://github.com/jakearchibald/ES6-Promises","https://github.com/jakearchibald/ES6-Promises/raw/master/LICENSE","nodemon:gulp-nodemon:HelpNow"
"escape-html@1.0.3","MIT","git+https://github.com/component/escape-html","git+https://github.com/component/escape-html/raw/master/LICENSE","express:HelpNow"
"escape-string-regexp@1.0.5","MIT","git+https://github.com/sindresorhus/escape-string-regexp","git+https://github.com/sindresorhus/escape-string-regexp/raw/master/license","chalk:gulp:HelpNow"
"etag@1.7.0","MIT","git+https://github.com/jshttp/etag","git+https://github.com/jshttp/etag/raw/master/LICENSE","express:HelpNow"
"event-stream@3.3.3","MIT","https://github.com/dominictarr/event-stream","https://github.com/dominictarr/event-stream/raw/master/LICENCE","gulp-nodemon:HelpNow"
"exit@0.1.2","MIT","https://github.com/cowboy/node-exit","https://github.com/cowboy/node-exit/blob/master/LICENSE-MIT","jshint:gulp-jshint:HelpNow"
"expand-brackets@0.1.5","MIT","git+https://github.com/jonschlinkert/expand-brackets","git+https://github.com/jonschlinkert/expand-brackets/raw/master/LICENSE","micromatch:findup-sync:liftoff:gulp:HelpNow"
"expand-range@1.8.2","MIT","git+https://github.com/jonschlinkert/expand-range","git+https://github.com/jonschlinkert/expand-range/raw/master/LICENSE","braces:micromatch:findup-sync:liftoff:gulp:HelpNow"
"expand-tilde@1.2.2","MIT","git+https://github.com/jonschlinkert/expand-tilde","git+https://github.com/jonschlinkert/expand-tilde/raw/master/LICENSE","resolve-dir:findup-sync:liftoff:gulp:HelpNow"
"express-http-proxy@0.6.0","MIT","https://github.com/villadora/express-http-proxy","https://github.com/villadora/express-http-proxy/raw/master/LICENSE-MIT","HelpNow"
"express@4.13.4","MIT","git+https://github.com/expressjs/express","git+https://github.com/expressjs/express/raw/master/LICENSE","HelpNow"
"extend@3.0.0","MIT","git+https://github.com/justmoon/node-extend","git+https://github.com/justmoon/node-extend/raw/master/LICENSE","liftoff:gulp:HelpNow"
"extglob@0.3.2","MIT","https://github.com/jonschlinkert/extglob","https://github.com/jonschlinkert/extglob/raw/master/LICENSE","micromatch:findup-sync:liftoff:gulp:HelpNow"
"extsprintf@1.0.2","UNKNOWN","https://github.com/davepacheco/node-extsprintf","https://github.com/davepacheco/node-extsprintf/raw/master/LICENSE","fsevents:chokidar:nodemon:gulp-nodemon:HelpNow"
"fancy-log@1.2.0","MIT","git+https://github.com/phated/fancy-log","git+https://github.com/phated/fancy-log/raw/master/LICENSE","gulp-util:gulp:HelpNow"
"filename-regex@2.0.0","MIT","https://github.com/regexps/filename-regex","https://github.com/regexps/filename-regex/blob/master/LICENSE-MIT","micromatch:findup-sync:liftoff:gulp:HelpNow"
"fill-range@2.2.3","MIT","git+https://github.com/jonschlinkert/fill-range","git+https://github.com/jonschlinkert/fill-range/raw/master/LICENSE","expand-range:braces:micromatch:findup-sync:liftoff:gulp:HelpNow"
"finalhandler@0.4.1","MIT","git+https://github.com/pillarjs/finalhandler","git+https://github.com/pillarjs/finalhandler/raw/master/LICENSE","express:HelpNow"
"find-file@0.1.4","MIT","https://github.com/kevva/find-file","https://github.com/kevva/find-file","rework-import:myth:gulp-myth:HelpNow"
"find-index@0.1.1","MIT","https://github.com/jsdf/find-index","https://github.com/jsdf/find-index","glob2base:glob-stream:vinyl-fs:gulp:HelpNow"
"find-up@1.1.2","MIT","git+https://github.com/sindresorhus/find-up","git+https://github.com/sindresorhus/find-up/raw/master/license","read-pkg-up:meow:dateformat:gulp-util:gulp:HelpNow"
"findup-sync@0.4.1","MIT","git+https://github.com/cowboy/node-findup-sync","git+https://github.com/cowboy/node-findup-sync","liftoff:gulp:HelpNow"
"first-chunk-stream@1.0.0","MIT","git+https://github.com/sindresorhus/first-chunk-stream","git+https://github.com/sindresorhus/first-chunk-stream","strip-bom:vinyl-fs:gulp:HelpNow"
"flagged-respawn@0.3.2","MIT","https://github.com/js-cli/js-flagged-respawn","https://github.com/js-cli/js-flagged-respawn/blob/master/LICENSE","liftoff:gulp:HelpNow"
